"TIME","GEO","UNIT","SEX","AGE","ICD10","Value","Flag and Footnotes"
"2004","Denmark","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","19",""
"2004","Denmark","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Denmark","Number","Males","From 5 to 9 years","Tuberculosis","0",""
"2004","Denmark","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Denmark","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Denmark","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","35",""
"2004","Denmark","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Denmark","Number","Males","From 10 to 14 years","Tuberculosis","0",""
"2004","Denmark","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Denmark","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Denmark","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","28,265",""
"2004","Denmark","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)","440",""
"2004","Denmark","Number","Females","Total","Tuberculosis","19",""
"2004","Denmark","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis","12",""
"2004","Denmark","Number","Females","Total","Human immunodeficiency virus [HIV] disease","9",""
"2004","Denmark","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","128",""
"2004","Denmark","Number","Females","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Denmark","Number","Females","Less than 1 year","Tuberculosis","0",""
"2004","Denmark","Number","Females","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Denmark","Number","Females","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Denmark","Number","Females","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","34",""
"2004","Denmark","Number","Females","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","3",""
"2004","Denmark","Number","Females","From 1 to 4 years","Tuberculosis","0",""
"2004","Denmark","Number","Females","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Denmark","Number","Females","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Denmark","Number","Females","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","13",""
"2004","Denmark","Number","Females","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Denmark","Number","Females","From 5 to 9 years","Tuberculosis","0",""
"2004","Denmark","Number","Females","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Denmark","Number","Females","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Denmark","Number","Females","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","15",""
"2004","Denmark","Number","Females","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Denmark","Number","Females","From 10 to 14 years","Tuberculosis","0",""
"2004","Denmark","Number","Females","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Denmark","Number","Females","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","818,271",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)","11,062",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Tuberculosis","441",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis","1,156",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Total","Human immunodeficiency virus [HIV] disease","507",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","2,918",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","33",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Less than 1 year","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","619",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","32",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 4 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","382",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","10",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 5 to 9 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","1",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","450",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","9",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 10 to 14 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Total","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","1",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","383,388",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Total","Certain infectious and parasitic diseases (A00-B99)","5,217",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Total","Tuberculosis","291",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Total","Viral hepatitis and sequelae of viral hepatitis","559",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Total","Human immunodeficiency virus [HIV] disease","404",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","1,629",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","15",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Less than 1 year","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","329",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","16",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 1 to 4 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","216",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","5",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 5 to 9 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","1",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","272",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","4",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 10 to 14 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","434,883",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)","5,845",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Total","Tuberculosis","150",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis","597",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Total","Human immunodeficiency virus [HIV] disease","103",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","1,289",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","18",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Less than 1 year","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","290",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","16",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 1 to 4 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","166",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","5",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 5 to 9 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","178",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","5",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 10 to 14 years","Tuberculosis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Germany (until 1990 former territory of the FRG)","Number","Females","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","1",""
"2004","Estonia","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","17,685",""
"2004","Estonia","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)","152",""
"2004","Estonia","Number","Total","Total","Tuberculosis","100",""
"2004","Estonia","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis","4",""
"2004","Estonia","Number","Total","Total","Human immunodeficiency virus [HIV] disease","21",""
"2004","Estonia","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","90",""
"2004","Estonia","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","2",""
"2004","Estonia","Number","Total","Less than 1 year","Tuberculosis","0",""
"2004","Estonia","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease","1",""
"2004","Estonia","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","17",""
"2004","Estonia","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Total","From 1 to 4 years","Tuberculosis","0",""
"2004","Estonia","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","11",""
"2004","Estonia","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Total","From 5 to 9 years","Tuberculosis","0",""
"2004","Estonia","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","16",""
"2004","Estonia","Number","Total","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Estonia","Number","Total","From 10 to 14 years","Tuberculosis","0",""
"2004","Estonia","Number","Total","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Total","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","9,067",""
"2004","Estonia","Number","Males","Total","Certain infectious and parasitic diseases (A00-B99)","112",""
"2004","Estonia","Number","Males","Total","Tuberculosis","84",""
"2004","Estonia","Number","Males","Total","Viral hepatitis and sequelae of viral hepatitis","3",""
"2004","Estonia","Number","Males","Total","Human immunodeficiency virus [HIV] disease","14",""
"2004","Estonia","Number","Males","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","47",""
"2004","Estonia","Number","Males","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Males","Less than 1 year","Tuberculosis","0",""
"2004","Estonia","Number","Males","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Males","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Males","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","8",""
"2004","Estonia","Number","Males","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Males","From 1 to 4 years","Tuberculosis","0",""
"2004","Estonia","Number","Males","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Males","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","7",""
"2004","Estonia","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Males","From 5 to 9 years","Tuberculosis","0",""
"2004","Estonia","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","10",""
"2004","Estonia","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Estonia","Number","Males","From 10 to 14 years","Tuberculosis","0",""
"2004","Estonia","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","8,618",""
"2004","Estonia","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)","40",""
"2004","Estonia","Number","Females","Total","Tuberculosis","16",""
"2004","Estonia","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis","1",""
"2004","Estonia","Number","Females","Total","Human immunodeficiency virus [HIV] disease","7",""
"2004","Estonia","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","43",""
"2004","Estonia","Number","Females","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","2",""
"2004","Estonia","Number","Females","Less than 1 year","Tuberculosis","0",""
"2004","Estonia","Number","Females","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Females","Less than 1 year","Human immunodeficiency virus [HIV] disease","1",""
"2004","Estonia","Number","Females","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","9",""
"2004","Estonia","Number","Females","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Females","From 1 to 4 years","Tuberculosis","0",""
"2004","Estonia","Number","Females","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Females","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Females","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","4",""
"2004","Estonia","Number","Females","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Females","From 5 to 9 years","Tuberculosis","0",""
"2004","Estonia","Number","Females","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Females","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Estonia","Number","Females","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","6",""
"2004","Estonia","Number","Females","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Estonia","Number","Females","From 10 to 14 years","Tuberculosis","0",""
"2004","Estonia","Number","Females","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Estonia","Number","Females","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","28,665",""
"2004","Ireland","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)","171",""
"2004","Ireland","Number","Total","Total","Tuberculosis","40",""
"2004","Ireland","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis","13",""
"2004","Ireland","Number","Total","Total","Human immunodeficiency virus [HIV] disease","15",""
"2004","Ireland","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","287",""
"2004","Ireland","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","3",""
"2004","Ireland","Number","Total","Less than 1 year","Tuberculosis","0",""
"2004","Ireland","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","46",""
"2004","Ireland","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","6",""
"2004","Ireland","Number","Total","From 1 to 4 years","Tuberculosis","0",""
"2004","Ireland","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","40",""
"2004","Ireland","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Ireland","Number","Total","From 5 to 9 years","Tuberculosis","0",""
"2004","Ireland","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","1",""
"2004","Ireland","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","33",""
"2004","Ireland","Number","Total","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Ireland","Number","Total","From 10 to 14 years","Tuberculosis","0",""
"2004","Ireland","Number","Total","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Total","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Males","Total","All causes of death (A00-Y89) excluding S00-T98","14,801",""
"2004","Ireland","Number","Males","Total","Certain infectious and parasitic diseases (A00-B99)","84",""
"2004","Ireland","Number","Males","Total","Tuberculosis","23",""
"2004","Ireland","Number","Males","Total","Viral hepatitis and sequelae of viral hepatitis","7",""
"2004","Ireland","Number","Males","Total","Human immunodeficiency virus [HIV] disease","10",""
"2004","Ireland","Number","Males","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","153",""
"2004","Ireland","Number","Males","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","2",""
"2004","Ireland","Number","Males","Less than 1 year","Tuberculosis","0",""
"2004","Ireland","Number","Males","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Males","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Males","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","28",""
"2004","Ireland","Number","Males","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","4",""
"2004","Ireland","Number","Males","From 1 to 4 years","Tuberculosis","0",""
"2004","Ireland","Number","Males","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Males","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Males","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","25",""
"2004","Ireland","Number","Males","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Ireland","Number","Males","From 5 to 9 years","Tuberculosis","0",""
"2004","Ireland","Number","Males","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Males","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","1",""
"2004","Ireland","Number","Males","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","16",""
"2004","Ireland","Number","Males","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Ireland","Number","Males","From 10 to 14 years","Tuberculosis","0",""
"2004","Ireland","Number","Males","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Males","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Females","Total","All causes of death (A00-Y89) excluding S00-T98","13,864",""
"2004","Ireland","Number","Females","Total","Certain infectious and parasitic diseases (A00-B99)","87",""
"2004","Ireland","Number","Females","Total","Tuberculosis","17",""
"2004","Ireland","Number","Females","Total","Viral hepatitis and sequelae of viral hepatitis","6",""
"2004","Ireland","Number","Females","Total","Human immunodeficiency virus [HIV] disease","5",""
"2004","Ireland","Number","Females","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","134",""
"2004","Ireland","Number","Females","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","1",""
"2004","Ireland","Number","Females","Less than 1 year","Tuberculosis","0",""
"2004","Ireland","Number","Females","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Females","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Females","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","18",""
"2004","Ireland","Number","Females","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","2",""
"2004","Ireland","Number","Females","From 1 to 4 years","Tuberculosis","0",""
"2004","Ireland","Number","Females","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Females","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Females","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","15",""
"2004","Ireland","Number","Females","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Ireland","Number","Females","From 5 to 9 years","Tuberculosis","0",""
"2004","Ireland","Number","Females","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Females","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Ireland","Number","Females","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","17",""
"2004","Ireland","Number","Females","From 10 to 14 years","Certain infectious and parasitic diseases (A00-B99)","0",""
"2004","Ireland","Number","Females","From 10 to 14 years","Tuberculosis","0",""
"2004","Ireland","Number","Females","From 10 to 14 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Ireland","Number","Females","From 10 to 14 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Greece","Number","Total","Total","All causes of death (A00-Y89) excluding S00-T98","104,942",""
"2004","Greece","Number","Total","Total","Certain infectious and parasitic diseases (A00-B99)","667",""
"2004","Greece","Number","Total","Total","Tuberculosis","75",""
"2004","Greece","Number","Total","Total","Viral hepatitis and sequelae of viral hepatitis","89",""
"2004","Greece","Number","Total","Total","Human immunodeficiency virus [HIV] disease","16",""
"2004","Greece","Number","Total","Less than 1 year","All causes of death (A00-Y89) excluding S00-T98","429",""
"2004","Greece","Number","Total","Less than 1 year","Certain infectious and parasitic diseases (A00-B99)","6",""
"2004","Greece","Number","Total","Less than 1 year","Tuberculosis","0",""
"2004","Greece","Number","Total","Less than 1 year","Viral hepatitis and sequelae of viral hepatitis","1",""
"2004","Greece","Number","Total","Less than 1 year","Human immunodeficiency virus [HIV] disease","0",""
"2004","Greece","Number","Total","From 1 to 4 years","All causes of death (A00-Y89) excluding S00-T98","94",""
"2004","Greece","Number","Total","From 1 to 4 years","Certain infectious and parasitic diseases (A00-B99)","2",""
"2004","Greece","Number","Total","From 1 to 4 years","Tuberculosis","0",""
"2004","Greece","Number","Total","From 1 to 4 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Greece","Number","Total","From 1 to 4 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Greece","Number","Total","From 5 to 9 years","All causes of death (A00-Y89) excluding S00-T98","74",""
"2004","Greece","Number","Total","From 5 to 9 years","Certain infectious and parasitic diseases (A00-B99)","2",""
"2004","Greece","Number","Total","From 5 to 9 years","Tuberculosis","0",""
"2004","Greece","Number","Total","From 5 to 9 years","Viral hepatitis and sequelae of viral hepatitis","0",""
"2004","Greece","Number","Total","From 5 to 9 years","Human immunodeficiency virus [HIV] disease","0",""
"2004","Greece","Number","Total","From 10 to 14 years","All causes of death (A00-Y89) excluding S00-T98","75",""
